Item,Energy (Kcal),Protein (g),Total Fat (g),Carbohyrate (g),Sugar (g)
Set A - Butterfly Pea Flower Rice w Ayam Penyet (Regular),1151,53.6,70.6,77.7,4
Set A - Butterfly Pea Flower Rice w Ayam Penyet (Reduced),690,32.2,42.3,46.6,2.4
Set B - Butterfly Pea Flower Rice w Ayam Merah (Regular),667,30.9,31.8,65.1,5.1
Set B - Butterfly Pea Flower Rice w Ayam Merah (Reduced),401,18.6,19.1,38.9,3.2
Set C - Butterfly Pea Flower Rice w Ayam Bakar Boneless (Regular),767,41.8,37.8,65.9,5.9
Set C - Butterfly Pea Flower Rice w Ayam Bakar Boneless (Reduced),460,25.1,22.7,39.6,3.5
Set D - Butterfly Pea Flower Rice w Ayam Hijau (Regular),856,52.3,43.5,65.3,5.2
Set D - Butterfly Pea Flower Rice w Ayam Hijau (Reduced),514,31.4,26.1,39.2,3.1
Set E - Butterfly Pea Flower Rice w Dory (Regular),863,43.4,42.9,75.8,4.3
Set E - Butterfly Pea Flower Rice w Dory (Reduced),518,26,25.8,45.5,2.6
Value Meal,806,32.6,50.1,56.9,2.6
Petai Fried Rice (Spicy),494,33.1,11.9,60.7,2.8
Egg Dah Dah,86,7,6,0.8,0.7
Sambal Egg,105,7.7,7.4,2,1.7
Sambal Goreng,66,3,4.8,2.6,1.5
Sayur Lodeh,266,1.1,25.7,7.9,1.7
Ikan Bilis w Peanut,71,5.8,5.1,0.8,0.5
Fish Fillet,383,20.8,28.8,9.1,0.2
Banana Leaf Otak-Otak,28,1.7,1.9,1.2,0
Iced Lime Juice,16,0,0,4,4
Iced Bandung,27,0,0,6.8,6.8
