Item,Energy (Kcal),Protein (g),Total Fat (g),Carbohyrate (g),Sugar (g)
Roasted Chicken Rice,556,23.5,17.7,75.8,6.6
White Chicken Rice,533,19.5,17.3,74.6,6
Char Siew Rice,697,21.9,29.6,86.1,16.7
Roasted Pork Rice,680,22,29.6,80.3,5.6
Roasted Chicken Noodles (Egg Noodles) - Regular,365,17.1,12.7,43.3,2.3
Roasted Chicken Noodles (Egg Noodles) - Large,388,25.3,11.5,43.6,2.3
Roasted Chicken Noodles (Hor Fun) - Regular,341,12.8,6.9,56.7,1.7
Roasted Chicken Noodles (Hor Fun) - Large,409,21,10.7,57,1.7
White Chicken Noodles (Egg Noodles) - Regular,409,21,10.7,57,1.7
White Chicken Noodles (Egg Noodles) - Large,365,21.3,11.1,42.4,1.7
White Chicken Noodles (Hor Fun) - Regular,328,10.9,6.7,55.8,1
White Chicken Noodles (Hor Fun) - Large,386,17,10.4,55.8,1
Char Siew Noodles (Egg Noodles) - Regular,455,16.4,18.6,53.5,12.4
Char Siew Noodles (Hor Fun) - Regular,431,12.1,12.9,66.9,11.7
Char Siew Noodles (Hor Fun) - Large,550,19.4,22.7,67.2,11.7
Roasted Pork Noodles (Egg Noodles) - Regular,395,16.6,13.9,47.8,1.4
Roasted Pork Noodles (Egg Noodles) - Large,511,23.7,23.4,48.1,1.4
Roasted Pork Noodles (Hor Fun) - Regular,416,12.3,13.1,61.2,0.7
Roasted Pork Noodles (Hor Fun) - Large,533,19.4,22.7,61.4,0.7
Roasted Chicken Rice + Veg + Half Egg Set Meal,604,28.1,21.2,75.4,6.1
White Chicken Rice + Veg + Half Egg Set Meal,582,24.1,20.9,74.2,5.5
Char Siew Rice + Veg + Half Egg Set Meal,746,26.5,33.2,85.6,16.2
Roasted Pork Rice + Veg + Half Egg Set Meal,728,26.5,33.2,79.9,5.1
Curry Chicken Bee Hoon,768,17.3,36.6,91.1,29.9
Curry Chicken Noodles,801,23.2,39.8,86,28.5
Chicken Shredded Porridge,150,8.3,3.8,20.6,0.9
Roasted Pork Rice Soup,238,9.7,10.2,26,0.6
Egg Veg Set Meal,432,15.7,14.9,58.9,5.6
Tofu Veg Set Meal,522,23,19.4,64.3,8
Roasted Chicken,72,8.2,3.9,1.2,1
White Chicken,60,6.3,3.7,0.3,0.3
Char Siew,163,7.5,9.8,11.4,11
Roasted Pork,264,14.9,19.6,6,0
Veg 1 (Cai Xin),6,0.8,0.1,0.4,0.5
Braised Egg,24,2.1,1.1,1.3,0.7
Sausage,121,6.2,9.6,2.4,0.5
Liver,50,7.7,1.7,0.3,0
Roasted Chicken (1 Pax),140,16.4,7.7,1.5,1
Roasted Chicken (2 Pax),281,32.8,15.4,3,2.1
Roasted Chicken (3 Pax),421,49.3,23.1,4.5,3.1
White Chicken (1 Pax),118,12.5,7.4,0.3,0.3
White Chicken (2 Pax),235,24.9,14.7,0.6,0.7
White Chicken (3 Pax),353,37.4,22.1,0.8,1
Plain Chicken Rice,411,6.9,10,73.4,4.7
White Rice,296,5.9,1.1,65.8,0.2
Gizzards,49,9.8,0.9,0,0
