Item,Energy (Kcal),Protein (g),Total Fat (g),Carbohyrate (g),Sugar (g)
Steamed Pork Rib ????,201,10.1,16.4,2.7,2.4
Chinese Leek with Tofu ???? ,201,10.1,16.4,2.7,2.4
Kung Pao Chicken ????,253,17.8,20,0.5,0.5
Pig Liver with Spring Onion ?????,171,23.4,6.5,3.1,0.4
Curry Chicken Drumstick,130,11.9,7.9,2.9,1.4
Stir Fried Pork Slices,294,18.5,24.1,1.7,0.4
Stir Fried Minced Pork,181,12.2,14.4,0.9,0.2
Bittergourd with Egg,71,3.7,5,2.8,2.8
Onion Egg,141,8.6,10.9,1.9,1.9
Stewed Potato,143,3.9,4.1,20.5,2.2
Stir Fried Nai Bai (Milk Cabbage),41,1,3.4,0,0
Stir Fried Cabbage,48,1.5,3.3,3.2,3
Stir Fried Xiao Bai Cai,48,1.6,4,1.3,1.3
Stir Fried Broccoli,51,3.4,3,2.4,2.4
Stir Fried Long Beans,48,2,2.5,4.2,3.2
Stir Fried Brinjal,63,2.4,3.2,6.3,5
Mala Fish Slices,84,15,1.8,1.7,0.6
White Rice (Small),192,3.8,0.7,42.7,0.1
White Rice (Upsize),303,6.1,1.1,67.2,0.2
Brown Rice (Small),176,4.5,1.1,37.1,0
Brown Rice (Upsize),277,7.1,1.7,58.4,0.1
