Item,Energy (Kcal),Protein (g),Total Fat (g),Carbohyrate (g),Sugar (g)
Egg Mayonnaise Sandwich,254,8.5,11.2,30.9,0.4
Ham & Cheese Sandwich,261,8.6,12,30.7,0.2
Breakfast Set with Kopi,588.1,24.9,26.2,64.4,20.8
Breakfast Set with Teh,553.9,24.2,26.2,56.1,21
Breakfast Set with Milo,591.9,25.9,27.1,61.7,22
Kopi,141.4,2.3,2.8,26.7,15.9
Kopi Siew Dai,88.5,2,1.2,17.5,6.6
Kopi C,103.9,3.4,1.8,18.8,8
Kopi C Kosong,82.1,3.4,1.8,13.1,2.3
Kopi C Siew Dai,89.7,3.4,1.8,15.1,4.3
Kopi O,73,1.8,0,16.7,5.8
Kopi O Kosong,51.3,1.8,0,11,0.1
Kopi O Siew Dai,58.8,1.8,0,13,2.1
Teh,107.2,1.6,2.8,18.5,16.1
Teh Siew Dai,54.4,1.3,1.2,9.2,6.8
Teh C,69.7,2.8,1.8,10.6,8.2
Teh C Kosong,47.9,2.8,1.8,4.9,2.5
Teh C Siew Dai,55.6,2.8,1.8,6.9,4.5
Teh O,38.8,1.1,0,8.4,6
Teh O Kosong,17,1.1,0,2.7,0.3
Teh O Siew Dai,24.7,1.1,0,4.7,2.3
Milo,145.2,3.3,3.7,24,17.1
Milo Siew Dai,107.8,3.1,2.6,17.5,10.6
Milo Kosong,68.6,1.9,1.6,11.1,6.7
Kopi Ice,141.4,2.3,2.8,26.7,15.9
Kopi Siew Dai Ice,88.5,2,1.2,17.5,6.6
Kopi C Ice,103.9,3.4,1.8,18.8,8
Kopi C Kosong Ice,82.1,3.4,1.8,13.1,2.3
Kopi C Siew Dai Ice,89.7,3.4,1.8,15.1,4.3
Kopi O Ice,73,1.8,0,16.7,5.8
Kopi O Kosong Ice,51.2,1.8,0,11,0.1
Kopi O Siew Dai Ice,58.8,1.8,0,13,2.1
Teh Ice,107.2,1.6,2.8,18.5,16.1
Teh Siew Dai Ice,54.4,1.3,1.2,9.2,6.8
Teh C Ice,69.7,2.8,1.8,10.6,8.2
Teh C Kosong Ice,47.9,2.8,1.8,4.9,2.5
Teh C Siew Dai Ice,55.6,2.8,1.8,6.9,4.5
Teh O Ice,38.8,1.1,0,8.4,6
Teh O Kosong Ice,17,1.1,0,2.7,0.3
Teh O Siew Dai Ice,24.7,1.1,0,4.7,2.3
Milo Ice,145.2,3.3,3.7,24,17.1
Milo Siew Dai Ice,107.8,3.1,2.6,17.5,10.6
Milo Kosong Ice,68.6,1.9,1.6,11.1,6.7
Chinese Tea,0,0,0,0,0
Chrysanthemum Tea,41,0,0,10.3,10.3
Ginger Tea,79.8,0,0,14.8,8
Green Tea,3.1,0.6,0,0.9,0
Soya Bean Milk,198.7,9.4,5.8,27.8,27.5
Honey Lemon,89.7,0,0,22.4,18.7
Homemade Barley,38.4,0.2,0,9.4,9.1
Ice Lemon Tea,81.1,0.2,0,19.4,18.8
Ribena,84.6,0,0,20.7,20.3
Chicken Big Bao,312,12.1,15.4,34,0
BBQ Chicken Bao,257,9,2,49,0
Lotus Paste Bao,210.3,4.3,5.5,35.9,17.1
Red Bean Bao,209.9,4.1,6.5,33.8,15.6
Lo Mai Kai,390.5,10.8,8.9,66.9,0
Fan Choy,267,9.5,11.4,32.4,0
Siew Mai,82.3,4,3.8,8.1,3.5
Hard Boiled Eggs 2 Pieces,193.7,16.1,13.9,1.1,1.1
Kaya Toast 2 Pieces,253,6.5,9.5,36.5,3.8
