Item,Energy (Kcal),Protein (g),Total Fat (g),Carbohyrate (g),Sugar (g)
Avocado Milkshake (Small),158,2,7.7,19.9,20.2
ABC Juice,156,3.7,0.7,31.8,22
Soursop Yakult Juice,73,0.6,0,17.5,15.2
Mango Milkshake,74,1.1,1.2,14.7,14
Papaya Milkshake,51,1.2,1,9.6,9
Honeydew Milkshake,81,2,1.1,16,14
Stawberry Milkshake,55,1.1,1.2,9.9,10
Peach Milkshake,83,0.9,1,18,17
Rockmelon Milkshake,64,2,1.1,11.5,9
Banana Milkshake,138,4.7,1,20,16
Raspberry Milkshake,47,0.9,1,9.2,9
Dragonfruit Juice,44,0.7,0,11.3,11
Soursop Strawberry Juice,56,0.2,0.3,12.9,11
Dragonfruit Soursop Juice,81,0.7,0,20.3,19
Passionfruit Soursop Juice,104,1.1,0.4,25.7,18
Guava Juice,41,0.9,0.1,9.2,9
Sourplum Lime Juice,135,1.5,0,30.4,30
Lime Juice,64,0.1,0,17.3,17
Sourplum Guava Juice,70,1.4,0.1,14.6,14
Stawberry Peach Juice,43,0.2,0.2,9.9,9
Sourplum Green Apple Juice,61,1,0.4,13.9,11
Mango Carrot Juice,82,0.7,0.5,18.3,13
Peach Kiwi Juice,83,0.4,0.4,19.4,15
Stawberry Mango Juice,58,0.4,0.4,12.6,12
Kiwi Mango Juice,73,0.5,0.6,16.1,13
Stawberry Juice,38,0.2,0.2,8.7,9
Mango Soursop Juice,133,0.2,0.3,32.2,28
Kiwi Juice,88,0.7,0.9,19.5,14
Banana Yakult Juice,158,4.3,0,27.4,22
Peach Juice,66,0,0,16.9,16
Carrot Juice,40,0.3,0.1,9.6,7
Celery Carrot Juice,48,0.7,0.2,10.4,8
Banana Kiwi Juice,156,4.1,0.4,26.2,19
Mango Peach Juice,86,0.2,0.2,20.8,19
Banana Strawberry Juice,141,4,0.2,22.7,18
Dragonfruit Peach Juice,74,0.7,0,18.6,17
Red Apple Lime Juice,141,0.1,0,36,36
Dragonfruit Strawberry Juice,45,0.9,0.2,10.4,10
Banana Pineapple Juice,146,3.9,0,24.9,20
Cucumber Apple Sourplum Juice,177,4.3,0.6,36.3,27
Buah Long Long Sourplum Juice,155,1.4,0,35.3,30
Mango Pineapple Juice,88,0.5,0.2,21,20
Carrot Pineapple Juice,72,0.6,0.2,17,14
Raspberry Soursop Juice,155,0,0.1,39.6,36
Raspberry Juice,78,0,0,20.8,21
Raspberry Yakult Juice,115,0.6,0,29.4,29
Peach Yakult Juice,103,0.6,0,25.4,24
Avocado Milkshake (Large),253,3.1,12.3,31.8,32
Blueberry Milkshake,39,1.2,1.1,5.9,5
Orange Yakult Juice,122,1.8,0.3,27.5,27
Passionfruit Apple Juice,227,7,1.5,53,34
Red Apple Yakult Juice,151,0.6,0,36.8,36
Green Apple Yakult Juice,214,6.4,1.2,49.7,36
Passionfruit Orange Juice,135,2.4,0.6,30.9,25
Watermelon Juice,67,0,0.1,16.5,14
Celery Apple Juice,185,6.3,1.2,41.9,29
Soursop Juice,76,0,0.1,18.7,15
Red Apple Juice,130,0,0,32.2,32
Green Apple Juice,214,7.1,1.4,49.7,34
Orange Juice,112,1.7,0.3,24.7,25
Pear Juice,132,0,0,36.1,22
Banana Apple Juice,202,6.5,0.5,37.6,27
Mango Juice,38,0.2,0.2,8.7,8
Carrot Orange Juice,108,1.6,0.4,23.8,21
Carrot Apple Juice,199,6.2,1.3,45.9,31
Celery Orange Juice,94,1.7,0.3,19.7,20
Soursop Orange Juice,121,1.7,0.7,26.3,23
Orange Kiwi Juice,121,1.7,0.7,26.3,23
Orange Banana Juice,146,3.2,0.3,28.4,26
Banana Juice,121,3.8,0,18.8,14
Pineapple Juice,75,0.5,0,18.3,17
Raspberry Orange Juice,146,1.3,0.3,35,35
Watermelon Milkshake,84,0.9,1.1,17.7,15
Watermelon Yakult Juice,104,0.6,0.1,25,22
Apple Pineapple Juice,126,0.3,0,31.1,30
Raspberry Pear Juice,148,0,0,40.1,31
Watermelon Fruit,45,1,0.4,7.2,6
Papaya Fruit,76,0.9,0.2,15.4,15
Pineapple Fruit,59,0.8,0.3,11.3,11
Rockmelon Fruit,45,0.9,0.2,8.8,9
Dragonfruit Fruit,69,1.8,0.1,14.9,9
Kiwifruit Fruit,81,1.5,1,15.4,15
Mango Fruit,110,3.4,0.8,22.6,20
Banana Fruit,155,1.9,0.6,39.8,21
Green Apple Fruit,74,0.5,0,16.1,16
Red Apple Fruit,73,0.4,0.2,17.3,15
Orange Fruit,56,1.4,0.2,10.4,10
Pear Fruit,47,0.3,0,11.3,11
Guava Fruit,87,2.1,0.3,28.2,21
Starfruit Fruit,28,0.8,0.1,5.9,5
Punnet of Strawberries Fruit,250,3,0.4,58.9,59
Bunch of Rambutans Fruit,250,3,0.4,58.9,59
Persimmon Fruit,125,1.3,0.8,28.4,17
Honeydew Fruit,56,0.8,0.2,14.1,13
