Item,Energy (Kcal),Protein (g),Total Fat (g),Carbohyrate (g),Sugar (g)
Plain Prata,262,7.1,9.9,33.5,3.1
Egg Prata,345,14,15.9,34,3.6
Cheese Prata,313,8.2,14.1,36,3.2
Egg & Onion Prata,352,14.4,15.9,35,4.6
Combo Prata,402,15.4,20,37.4,4.7
Plain Thosai,335,9.9,12.3,43.6,4.1
Egg Thosai,418,16.8,18.2,44.1,4.6
Cheese Thosai,386,10.9,16.4,46.1,4.2
Egg & Onion Thosai,424,17.2,18.2,45.1,5.5
Combo Thosai,475,18.2,22.4,47.5,5.6
Masala Thosai,388,11.1,14.3,50.4,5.2
Onion Vegetable Utappam,546,10.6,34.3,45.7,6.1
Briyani Rice,268,5.3,2.6,55.9,1.7
Tomato Rice,262,5.3,2.5,54.6,1.8
Nasi Goreng,627,21.1,15.2,100.9,12.7
Mee Goreng,545,18.5,24.8,61.1,13.6
Fried Chicken Drumstick,397,20.6,29.5,12.1,1.7
Curry Chicken Drumstick,186,18.9,10.9,2.2,0.8
Boneless Butter Chicken,131,20.5,3.9,3,2.4
Boneless Ginger Chicken,131,21.1,3.6,2.8,2.3
Black Pepper Chicken,141,22.2,3.8,3.6,2.4
Chilli Chicken,324,22,25.7,1.2,1
Mutton,191,19.5,12.1,1.3,0.4
Dory Fish,105,19.1,2.2,1.9,1.1
Fried Fish Pieces,138,9.7,8.8,4.8,0.6
Fried Dory Steak,165,12.9,11.5,2.2,0.4
Prawn,110,16.6,3.5,2.6,2.2
Sotong,104,11.4,3.8,4.4,3.9
Egg with Onion,142,7.5,10.8,3.3,2.5
Tofu,83,5.1,5.4,3.8,2.7
Chickpeas,174,7.5,5.8,17.6,5.6
Long Bean,53,2.3,2.5,4.7,3.6
Spinach,125,6.2,8.1,6.4,2.2
Broccoli & Cauliflower,83,3.8,4.7,6.5,3.9
Bittergourd,72,1.9,3.9,6.9,5.7
Chicken Masala,104,16.6,3.1,1.8,1.1
Yoghurt,138,7.7,7.4,10.1,9.9
Pappadum,48,0.9,3.3,3.6,0
White Rice,256,5.1,0.9,56.9,0.2
Brown Rice,233,6,1.4,49.3,0.1
