Item,Energy (Kcal),Protein (g),Total Fat (g),Carbohyrate (g),Sugar (g)
Mala Sauce (Non-Spicy Base),46,1.7,0.1,9.7,5.3
Mala Sauce ?? (Slightly Spicy Base),95,0.3,10.1,1,0.2
Mala Sauce ?? (Spicy Base),191,0.6,20.2,2,0.5
Mala Sauce ?? (Very Spicy Base),257,0.6,27.7,2,0.5
Soup Base,2,0.1,0,0.3,0.1
Steamed Chicken Dumpling 8 Pieces,235,17.5,3.3,30.1,3.1
Steamed Chicken Dumpling 12 Pieces,357,26.8,5.1,45.3,4.9
Fried Chicken Dumpling 8 Pieces,488,17.5,32,30.1,3.1
Fried Chicken Dumpling 12 Pieces,746,26.8,49.1,45.3,4.9
Chicken Dumpling in Soup 8 Pieces,237,17.6,3.4,30.4,3.2
Chicken Dumpling in Soup 12 Pieces,359,27,5.2,45.7,5
Beancurd Skin (Fried),76,4.4,5.5,0.3,0.3
Beancurd Skin (Non-Fried),77,8.2,2.9,0.5,0.5
Black Fungus,19,1.3,0.2,3,0
Enoki Mushroom,13,0.9,0.1,1.8,0.1
Kelp,27,1.8,0.4,5.2,0.4
Lotus Root,51,1.2,0.1,12.3,0.4
Tau Kwa,50,5,2.3,2.3,1
Thick Beehoon,326,5.3,0.5,75.1,0
Peanut,210,7.4,18.6,2.7,1.5
White Radish,12,0.6,0.1,2.2,2.2
Bermuda Triangle Tofu (Taupok),144,10.2,10.4,2.3,0
Cheese Tofu,122,6.4,9.1,3.7,2.1
Chicken Hotdog,95,5.5,7,2.4,0.8
Chickuwa,42,5.5,0.5,3.2,0
Crab Ball,64,5.8,2,5.8,1.5
Crab Claw,100,3.8,4.3,11.6,1.9
Crabstick,11,1.2,0,0.6,0
Cuttlefish,21,4.4,0.2,0.2,0
Cuttlefish Ball,135,8.5,7.1,9.4,1.5
Fish Tau Foo,99,4.8,5.8,7,2.8
Fish Ball (Fried),141,10.5,9.8,2.8,0.9
Mini Sausage,107,4.5,8.3,3.9,1.9
Luncheon Meat,210,6.2,19.3,2.8,0
Mini Fish Ball,47,6.9,1.3,1.8,0.6
Mushroom Ball,46,5.8,0.5,3.9,0
Quail Egg,48,4,3.4,0.1,0.1
Saito Fish Cake,82,12.1,3,1.9,0.8
Seaweed Chicken,156,7.5,12,4.9,1.4
Taiwan Sausage,170,7.2,13,6.2,3.1
Instant Noodle,349,8.1,11.7,52.9,2.4
Potato Starch Noodle,437,0,0,108.1,0
Taugay,11,1.5,0.1,0.8,0.5
Brinjal,12,0.7,0,2.3,2.3
Broccoli,9,1.3,0,0.9,0.9
Cabbage,15,1.4,0.3,2.8,0
Cauliflower,20,2,0,3,2.9
Cucumber,9,0.3,0,1.9,1.9
Kang Kong,8,1.1,0.1,0.4,0
Lady's Finger,11,0.6,0,2.1,2.1
Potato,45,1.5,0.1,8.6,0.4
Tomato,16,1,0.1,2.6,2.6
Wintermelon,31,0.3,2.4,1.7,1
Xiao Bai Cai,7,0.8,0.1,0.6,0.6
King Oyster Mushroom,13,1.3,0.2,1.4,0.7
Shitake Mushroom,16,1,0.2,2,1.1
Beef Slice,109,11.8,6.9,0,0
Chicken Gizzard,45,8.5,1,0,0
Fish Slice,57,12.8,0.5,0.1,0.1
Prawn,34,7.8,0.2,0,0
Sotong Ring,51,8.6,0.8,1.7,1.7
White Rice,237,4.7,0.8,52.6,0.2
Coriander,0,0,0,0,0
Sliced Chicken Leg,28,4.4,1.2,0,0
