Item,Energy (Kcal),Protein (g),Total Fat (g),Carbohyrate (g),Sugar (g)
Mee Rebus,372,19.8,15.3,37.6,4.4
Mee Siam,317,15.5,13,33.8,5.2
Mee Soto,557,21.6,36.1,37.1,7.2
Mee Bandung,407,33.2,8.6,46.8,17.3
Lontong,1187,33.9,33.7,184.7,11.8
Mee Goreng,324,14.6,14.4,32.8,4.4
Fried Kway Teow,414,31.6,14.3,39.6,3.9
Fried Bee Hoon,356,30.4,12.7,29,5
Mee Hong Kong,291,15.6,8.7,36.1,4.2
Nasi Goreng Pattaya,620,27.4,29.7,60.5,9
Chicken Briyani,866,40.6,47.2,68.5,6
Nasi Lemak Set 1 (Chicken Wing + Egg),1204,35.4,56.2,140,4.8
Nasi Lemak Set 2 (Fish Fillet + Hotdog + Ikan Bilis),1211,48.5,50.2,141.2,4.5
Curry Puff (Potato),425,5.6,31.2,29.2,2
Curry Puff (Sardine),461,11.4,35.7,22.2,1.1
Curry Puff (Chicken),409,8.4,30.6,23.4,0.7
Spring Roll,212,2.5,17.2,10.6,3.6
Samosa,156,2.9,11.2,9.3,1.8
Tahu Goreng,305,11.7,22.1,15.6,7.5
Malay Cake (Ma Lai Go),214,4.9,6.2,35,26.2
Kuih Lopes,480,5,25,54.5,25.4
Kuih Ongol Ubi (Ubi Kayu),279,2.2,17.7,26.5,13
Fried Chicken Wing,348,15.1,29.8,4.9,0
Stir-Fried Beansprouts,25,1.6,1.5,1,0.6
Kangkung Belacan,39,1.3,3,1.4,0.6
Braised Egg and Chicken,209,31.1,7.8,3.5,3
Beef Rendang,260,18.2,18.1,6.5,3.9
Gulai Ayam (Chicken Curry),265,23.8,16.8,5.4,3.5
Sayur Lodeh (Vegetable Curry),141,5.7,8.8,10.2,5.4
Cuttlefish (Sambal Tumis Sotong),59,6.9,1.3,4.5,4.1
Mutton Rendang,268,17.1,19.9,6.5,3.9
Kebaru Timun (Spicy Cucumber Salad),511,2.2,50.3,12.4,10.2
Sambal Goreng Tempeh (Fried Spicy Tempeh),776,6.8,76.7,15.7,11.9
Chicken Porridge,216,13.1,6.5,26.1,0.6
Ayam Merah,159,16.4,4.7,6.5,5.8
Black Pepper Chicken,128,11.1,5.2,9.3,3.6
Sambal Goreng,73,4.3,4.3,4.9,3.6
Nasi Goreng,544,11.6,13.8,91.4,3.7
Assam Pedas,86,12.3,3.2,1.7,1.1
Sotong,83,8.6,2.8,5,4.7
Chicken Rendang,238,22.6,12.8,7.2,4.3
Fish Cutlet,138,7,8.5,8,0.4
Chicken Ngoyang,649,20.3,43.1,45,4.9
Rissoles,226,6,12.9,20.8,1.1
Ikan Bilis,161,22,8,0.4,0.1
Sunnyside Up,102,7,8,0.5,0.5
Fried Fish Fillet,168,9.1,12.5,3.9,0.1
Hotdog,128,4.2,11.2,2.2,0
Seaweed Chicken,80,3.8,6.1,2.5,0.7
Salted Duck Egg,64,4.3,4.3,2.1,0
Fried Fish Cake,117,7.6,8,3.5,0
Fried Chicken Nugget,87,2.7,6.8,3.2,0.2
Fried Hashbrown,130,1.2,9.4,9.8,0
Ikan Selar Kuning Goreng (Fried Yellowtail Scad),227,20.5,16.1,0,0
Ikan Tenggiri Batang Goreng (Fried Spanish Mackerel / Batang Fish),230,19.2,17.1,0,0
White Rice,260,5.2,0.9,57.7,0.2
Hard-Boiled Egg,82,7.2,5.9,0.2,0.2
