Item,Energy (Kcal),Protein (g),Total Fat (g),Carbohyrate (g),Sugar (g)
Sunrise Sandwich (Half),225,11.1,9.1,24.7,2.9
Sunrise Sandwich (Full),449,22.2,18.2,49.3,5.8
Tuna & Egg Sandwich (Half),188,11,7.3,16.9,1.8
Tuna & Egg Sandwich (Full),375,22,14.6,33.8,3.6
Ham & Egg Sandwich (Half),192,9.9,6.7,23.2,1.7
Ham & Egg Sandwich (Full),384,19.8,13.3,46.4,3.4
Pork Floss & Egg Sandwich (Half),202,10.3,6.5,25.5,4.2
Pork Floss & Egg Sandwich (Full),403,20.6,13.1,51.1,8.4
Honey Glazed Chicken Sandwich (Half),291,13.7,15.7,24.1,2.3
Honey Glazed Chicken Sandwich (Full),291,13.7,15.7,24.1,2.3
Plain Egg Crepe,218,9.1,11.3,20.1,3.4
Pork Floss Crepe,169,5,6.7,22.2,5.4
Hot Dog Crepe,266,8.8,16.3,21.2,3
Ham Crepe,169,5.8,7.3,19.9,3
Original Scallion Pancake,324,8.5,18.6,30.9,0.5
Egg & Scallion Pancake,393,14.2,23.5,31.3,0.9
Hot Dog & Scallion Pancake,441,13.9,28.6,32.3,0.5
Cheese & Scallion Pancake,364,11.2,21.8,30.9,0.6
Cheese & Hot Dog Scallion Pancake,480,16.5,31.8,32.3,0.6
Taiwanese Scallion Pancake,480,16.5,31.8,32.3,0.6
Honey Glazed Chicken Chop,635,28.9,55.2,5.7,3.7
X-Large Chicken Chop,703,31.6,60.5,7.9,4.1
Mala Chicken Chop,636,29,55.2,5.7,3.7
Salted Crispy Chicken (Small),472,21.2,40.6,5.3,2.8
Salted Crispy Chicken Medium),569,25.6,49,6.4,3.3
Salted Crispy Chicken (Large),711,32,61.2,8,4.2
Seasame Seed Crispy Chicken (Small),377,16.9,32.9,3.3,2.1
Seasame Seed Crispy Chicken (Medium),509,22.8,44.4,4.4,2.8
Seasame Seed Crispy Chicken (Large),654,29.3,57.1,5.7,3.6
Honey Glazed Chicken Chop Rice (Normal),669,25.3,41,47.4,5.1
Honey Glazed Chicken Chop Rice (Large),893,35.5,60.5,49.4,6.4
X-Large Chicken Chop Rice (Normal),672,25.2,41,48.3,5.2
X-Large Chicken Chop Rice (Large),961,38.2,65.9,51.6,6.8
Mala Chicken Chop Rice (Normal),669,25.3,41.1,47.4,5.1
Mala Chicken Chop Rice (Large),894,35.5,60.5,49.4,6.4
Salted Crispy Chicken Rice (Normal),634,23.5,37.7,47.9,4.9
Salted Crispy Chicken Rice (Large),826,32.2,54.3,50.1,6.1
Sesame Seed Crispy Chicken Rice (Normal),634,23.5,38.2,46.9,4.8
Sesame Seed Crispy Chicken Rice (Large),839,32.6,56.1,48.7,6
Taiwanese Pork Chop Rice (Normal),1022,32.3,77.5,48.2,5.9
Taiwanese Pork Chop Rice (Large),1115,35.4,86.3,48.7,6.3
Sweet & Sour Chicken Rice (Normal),697,26,42.8,49.8,7.2
Sweet & Sour Chicken Rice (Large),937,36.6,63.1,53.2,9.6
Teriyaki Chicken Rice (Normal),703,26.3,43.2,50.1,6.8
Teriyaki Chicken Rice (Large),946,37,63.8,53.7,9
Taiwanese Braised Pork Rice (Normal),654,16.3,42.8,47.3,4.5
Taiwanese Braised Pork Rice (Large),741,18,51.1,48.4,5.1
Taiwanese Chicken Drumstick Rice,625,46.1,25.9,49.4,7.2
Cheese,39,2.7,3.2,0,0
Corn,13,0.5,0.2,2.5,0.9
Egg,36,3,2.6,0.2,0.2
