Item,Energy (Kcal),Protein (g),Total Fat (g),Carbohyrate (g),Sugar (g)
Stir Fried Broccolli,23,2.6,0.4,2.4,2.1
Stir Fried Beansprouts,20,1.7,0.7,1.6,1.2
Stir Fried Bittergourd,15,0.5,0.5,2.1,2.1
Stir Fried Cabbage,24,1.3,0.7,3.2,3
Stir Fried Lotus Root,37,1,0.5,7.1,0.6
Stir Fried Seaweed,45,2.3,1.3,7.2,1.9
Stir Fried Tau Kwa,71,7,3.9,2.6,1.3
Stir Fried Golden Needle Vegetable,42,0.9,2.3,4.4,4
Stir Fried King Oyster Mushroom,54,3.1,1.9,5,2.7
Stir Fried Chinese Yam,68,1.5,1.5,10.8,3
Stir Fried Brinjal,29,1.4,0.4,5,5
Stir Fried Long Bean,25,1.4,0.6,3.5,3.1
Stir Fried Green Amaranth,19,1.5,0.6,2.8,0.4
Stir Fried Mushroom Mock Meat,124,9.5,5.4,9.1,3.4
Stir Fried Tau Gee Tang Hoon,85,4,3,10.2,4.4
Stir Fried Potato Fries,110,1.5,4,16.2,1.1
Chilli Mock Meat Bits,96,6.5,3.5,9.2,7.1
Sweet & Sour Mock Meat,289,13.9,19.2,15.1,9.4
Stewed Mock Fish Balls,96,0.8,5,12.1,7.4
Deep Fried Vegetable Fritter,230,5.2,10.7,28.1,1.6
Fried Noodle,472,10.6,17.3,68.4,4.8
Fried Kway Teow,351,4.4,4.4,73.2,1.6
Fried Rice,258,4.9,2.3,54.5,1.6
Fried Bee Hoon,258,4,3.5,52.6,0.3
Boiled Chickpea,95,5,1.6,11.2,2.6
Boiled Pumpkin,43,0.6,0.1,9.9,7.6
Boiled Sweet Corn,41,1.4,0.7,7.6,2.7
Mock Char Siew,99,13.3,1.4,8.6,0
Deep Fried Egg,114,5.1,10.2,0.4,0.4
Deep Fried Spring Roll,174,3.7,9.3,19.1,3.1
Deep Fried Mock Chicken Drumstick,393,16.7,30.6,12.8,4.3
Deep Fried Mock Roast Duck,300,10.3,27.3,3.1,2.2
Deep Fried Mock Chicken Bites,180,7.3,14.6,3.9,1.3
Deep Fried Mock Goose,115,7.2,7.2,5.1,0.2
White Rice,351,7.1,0.5,79.5,0.2
Brown Rice,276,5.8,1.3,59.9,0.4
