Item,Energy (Kcal),Protein (g),Total Fat (g),Carbohyrate (g),Sugar (g)
Black Pepper Chicken Chop,775,42.4,51.7,31.6,6.9
Chicken Cutlet,966,47.8,60.1,54.9,7.2
Grilled Dory Fish,530,45.1,21.3,37.2,8.2
Fish & Chip,838,46.4,49.1,50.7,8.3
Black Pepper Ribeye Steak,807,44.9,45.6,53.2,9.3
Combo Set 1: Ribeye Steak & Grilled Chicken,831,43.2,48.7,52.5,9
Combo Set 2: Ribeye Steak & Grilled Fish,680,41.3,33.2,52.4,9.2
Combo Set 3: Ribeye Steak & Grilled Salmon,776,42.4,43.6,52.3,9
Combo Set 4: Grilled Chicken Chop & Grilled Salmon,846,43.7,50.8,51.1,9
Combo Set 5: Grilled Chicken Chop & Grilled Dory Fish,750,42.7,40.3,51.3,9.2
Arrabiata,295,10.3,5.1,50,7.3
Pomodoro,341,13.9,2.7,69,21.6
Creamy Chicken Spaghetti (Small),755,31.6,54.3,34.1,3.7
Creamy Chicken Spaghetti (Normal),822,34,54.7,47.2,4
Creamy Chicken Spaghetti (Upsize),901,36.9,55.2,62.7,4.3
Creamy Chicken Ham & Mushroom Spaghetti (Small),571,19.2,38.2,37.8,4.2
Creamy Chicken Ham & Mushroom Spaghetti (Normal),638,21.7,38.6,50.9,4.4
Creamy Chicken Ham & Mushroom Spaghetti (Upsize),717,24.6,39,66.4,4.7
Prawns & Mushroom Spaghetti (Small),557,20.5,36.5,36.9,4
Prawns & Mushroom Spaghetti (Normal),624,23,36.9,50,4.2
Prawns & Mushroom Spaghetti (Upsize),703,25.9,37.3,65.4,4.5
Hot Chicken Spaghetti (Small),298,16.6,8.6,36.9,7
Hot Chicken Spaghetti (Normal),365,19.1,9,50,7.3
Hot Chicken Spaghetti (Upsize),444,22,9.4,65.5,7.6
Creamy Sausage & Mushroom Spaghetti (Small),688,28.8,46.7,37.6,4
Creamy Sausage & Mushroom Spaghetti (Normal),755,31.3,47,50.7,4.2
Creamy Sausage & Mushroom Spaghetti (Upsize),834,34.2,47.5,66.1,4.5
Alfredo (Small),651,28.9,42.8,37.8,4.2
Alfredo (Normal),718,31.3,43.2,50.9,4.4
Alfredo (Upsize),797,34.2,43.7,66.4,4.7
Chicken Patty Spaghetti,530,29.3,19.1,58.4,7.6
Chicken Cheese Ball Spaghetti,501,24.3,16.7,61.7,9.6
Salmon e Funghi Spaghetti (Small),715,31.2,49.4,36.9,4
Salmon e Funghi Spaghetti (Normal),782,33.7,49.7,50,4.2
Salmon e Funghi Spaghetti (Upsize),861,36.6,50.2,65.4,5
Seafood Marinara (Small),373,36.1,7.8,37.9,7
Seafood Marinara (Normal),440,38.5,8.1,51,7
Seafood Marinara (Upsize),519,41.4,8.6,66.5,8
Creamy Fish Pasta (Small),616,32.1,39,34.1,4
Creamy Fish Pasta (Normal),683,34.6,39.4,47.2,4
Creamy Fish Pasta (Upsize),762,37.5,39.8,62.7,4
"Baked Beans, Fries & Sausage",359,16.8,22,21.7,4
"Baked Beans, Mashed Potato & Sausage",447,18.6,24.6,35.6,6
Mashed Potato,89,1.9,2.5,13.8,2
Sunny Side Up,102,7,8,0.5,0
French Fries,164,1.3,11.6,13.5,0
Hot Dog,153,13.4,10.3,0.7,0
Spaghetti,157,5.8,0.9,30.8,1
Tasty Rice,210,4.2,0.8,46.7,0
Chicken Ham,36,3.8,1.9,1,0
Coleslaw,68,0.7,4.7,4.9,4
